"","V1","V2","V3","V4"
"Arcos@MG",554.567192416832,112.696125834418,587.099606090102,72.1790554615315
"Arcoverde@PE",496.023523127432,109.210998330665,429.342240717689,200.189684866753
"Areado@MG",530.523229641964,103.437754771933,488.931129990072,112.347948656741
"Areia Branca@RN",476.134838956029,92.3058895296583,449.874773809209,228.364453150953
"Areia Branca@SE",478.0079501989,89.2366532129594,390.7,9.1621620774934e-14
"Areia@PB",475.621707859639,96.1347476925088,502.925312004211,186.732966305138
"Arenápolis@MT",479.432945850887,85.2023772319919,391.939858433028,66.8082852821792
"Arinos@MG",473.426985285282,94.8833927666151,477.899989332228,92.9357372779986
"Aripuanã@MT",477.804476108171,81.0920567812689,518.855178674988,104.778154462773
"Ariquemes@RO",487.006732548405,95.4112508056708,496.39848383348,122.589825114455
"Aroeiras@PB",474.199716513574,86.0214988503311,517.112662333138,80.2650481158741
