NO_MUNICIPIO,CO_MUNICIPIO,SG_UF,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Rolim de Moura,1100288,RO,0.135507180417171,0.139381906077348,0.19795891626013,0.219024123407615,0.223172322893331,0.402846270573966,0.36171157778047,0.394921722364925,0.418865759987965,0.440772701295686,0.469317377597632,0.503298474577373,0.501859473397134,0.561152724949666,0.746267923787075,0.731849051791448
Santa Luzia D'Oeste,1100296,RO,0.190664675130695,0.18250310877039,0.212103825136612,0.202442244224422,0.166586985391766,0.170240415854451,0.184126984126984,0.124683503630872,0.149310535024821,0.247672515939739,0.471552099985467,0.466855168080427,0.58984485190409,0.678526734926052,0.661402936378467,0.537150341472542
Novo Horizonte do Oeste,1100502,RO,0.234571205531393,0.297434273044029,0.314648749334753,0.252786725980467,0.264752163650669,0.248038568423639,0.383571257403033,0.344701786838285,0.397537878787879,0.267509215376514,0.363970588235294,0.284391091069742,0.371426529445397,0.325205242148076,0.539156769034212,0.845267202235417
Castanheiras,1100908,RO,0.0723254213966288,0.0307119590507213,0.172083044109295,0.160520844731371,0.255060728744939,0.288888888888889,0.257820240622788,0.271578947368421,0.248912476074474,0.186839826839827,0.512903225806452,0.689520078354554,0.673702726473175,0.861767279090114,0.846640316205534,0.628504672897196
Ministro Andreazza,1101203,RO,0.196932892387837,0.209734201725048,0.299708294515631,0.217227647155092,0.232993197278912,0.310994764397906,0.30666416921986,0.266857757863293,0.207826932425863,0.146343476586144,0.237351598173516,0.305383637134379,0.108262108262108,0.118491484184915,0.393982581155978,0.405597162002365
Pimenta Bueno,1100189,RO,0.290576161578294,0.245309287488513,0.261513900655494,0.269713061105313,0.286241578023787,0.346098238540099,0.373044074040794,0.418055230275394,0.448517570509294,0.447234287174246,0.526067606247523,0.584292992663574,0.522093893783113,0.520935148271979,0.59653796901618,0.784971414984131
Parecis,1101450,RO,0.242471042471042,0.10174685871897,0.179438058748404,0.17280701754386,0.0661333829411218,0.548387096774194,0.470720720720721,0.391627493329945,0.620689655172414,0.607298620382733,0.75,0.695652173913043,0.80952380952381,0.675133214920071,1,875
Primavera de Rondônia,1101476,RO,0.137788290952099,0.261663286004057,0.307967366776601,0.270183852917666,0.167692307692308,0.123931623931624,0.236380090497738,0.212931716868725,0.287403740374037,0.191890065330029,0.30193672561049,0.164278892072588,0.260091743119266,0.359601449275362,0.554764024933215,0.561011904761905
São Felipe D'Oeste,1101484,RO,0.114346180978644,0.138229755178908,0.0955937266616878,0.112650822669104,0.0722475199219385,0.106699571750018,0.0781829152659253,0.138227648949997,0.227011494252874,0.241176470588235,0.149806651198763,0.270920991117345,0.237516869095816,0.206542056074766,0.360996933516017,0.202001819836215
Chupinguaia,1100924,RO,0.227309236947791,0.149000353857042,0.241513431706394,0.360092252498505,0.238519554408109,0.290763624841572,0.424067867616255,0.396835849398285,0.365418663902924,0.529908182554685,0.353982300884956,0.31009169714887,0.350412546880327,0.429526931254429,0.462798102540776,0.39780469341408
Vilhena,1100304,RO,0.222459565523134,0.246458580837869,0.294112534156996,0.279402272147724,0.286301413803115,0.356622572966403,0.375762734603054,0.360917351077243,0.362980004452459,0.397992328030704,0.448603427302374,0.493318754890597,0.521898692718475,0.560176232696146,0.609710097235244,0.622647613706381
Cabixi,1100031,RO,0.136176142697882,0.166549950979411,0.0914497158715475,0.194104655113829,0.222124268881919,0.320039980009995,0.286968041066402,0.191986782321355,0.242688100022326,0.422357814599194,0.453916891377999,0.474296899144947,0.203071672354949,0.354046713742531,0.316132536664856,0.231293188548865
Cerejeiras,1100056,RO,0.119599109131403,0.203701572688914,0.179812516951451,0.238320520402129,0.189486608964737,0.324989607458875,0.451478556503878,0.483880023908279,0.50379488091006,0.354347658725224,0.334986699406589,0.301361811608668,0.367683302526186,0.584114021571649,0.834195361856508,0.784090909090909
Pimenteiras do Oeste,1101468,RO,0.214100679129035,0.0898141354854488,0.0967071057192374,0.194650015417823,0.0956738768718802,0.0979255250612034,0.239482200647249,0.282832226994664,0.241359109548916,0.12059925093633,0.0333575054387237,0.32,0.14772103239978,0.649842271293375,NA,0.675465838509317
Colorado do Oeste,1100064,RO,0.255668934240363,0.302867027838867,0.273445837351334,0.262078462107853,0.335126662942615,0.292866527525622,0.367141617161344,0.407520360725646,0.497821645596144,0.488249214072409,0.466742895390022,0.489371260346772,0.576710618976519,0.64320874647139,0.672143408228496,0.724523649405963
